Source Group;Source;Souree A;Target group;Target;Target A;weight;p-value;error
Q1;Data ownership;3,1;Q4;Me, I have recorded it;4,2;0,252;0,002;0,078
Q1;Chat GPT;3,9;Q4;The mobile device producer;1,8;-0,061;0,45;0,081
Q1;Chat GPT;3,9;Q4;The App developer;1,8;-0,098;0,224;0,08
Q1;Chat GPT;3,9;Q4;The state;1,6;-0,093;0,248;0,08
Q1;Chat GPT;3,9;Q4;Whoever was recorded;2,9;0,046;0,566;0,081
Q1;Cookies;3,7;Q4;Me, I have recorded it;4,2;-0,012;0,88;0,081
Q1;Cookies;3,7;Q4;The mobile device producer;1,8;-0,098;0,227;0,08
Q1;Cookies;3,7;Q4;The App developer;1,8;-0,128;0,113;0,08
Q1;Cookies;3,7;Q4;The state;1,6;-0,134;0,096;0,08
Q1;Cookies;3,7;Q4;Whoever was recorded;2,9;0,053;0,515;0,081
Q1;Data science;3;Q4;Me, I have recorded it;4,2;0,179;0,026;0,08
Q1;Data ownership;3,1;Q4;The mobile device producer;1,8;-0,135;0,094;0,08
Q1;Data ownership;3,1;Q4;The App developer;1,8;-0,13;0,108;0,08
Q1;Data ownership;3,1;Q4;The state;1,6;-0,037;0,65;0,081
Q1;Data ownership;3,1;Q4;Whoever was recorded;2,9;0,074;0,358;0,081
Q1;GDPR;2,5;Q4;Me, I have recorded it;4,2;0,199;0,013;0,079
Q1;Personal data;3,8;Q4;Me, I have recorded it;4,2;0,198;0,014;0,079
Q1;Data science;3;Q4;The App developer;1,8;-0,153;0,057;0,08
Q1;Data science;3;Q4;The state;1,6;-0,058;0,474;0,081
Q1;Data science;3;Q4;Whoever was recorded;2,9;0,119;0,14;0,08
Q1;Data sharing;3,7;Q4;Me, I have recorded it;4,2;0,128;0,111;0,08
Q1;Data sharing;3,7;Q4;The mobile device producer;1,8;-0,144;0,073;0,08
Q1;Data sharing;3,7;Q4;The App developer;1,8;-0,126;0,119;0,08
Q1;Data sharing;3,7;Q4;The state;1,6;-0,108;0,179;0,08
Q1;Data sharing;3,7;Q4;Whoever was recorded;2,9;0,05;0,537;0,081
Q1;Eye tracking;3,1;Q4;Me, I have recorded it;4,2;0,147;0,068;0,08
Q1;Eye tracking;3,1;Q4;Whoever was recorded;2,9;0,186;0,021;0,079
Q1;Hybrid reality;2,5;Q4;Whoever was recorded;2,9;0,157;0,05;0,08
Q1;Eye tracking;3,1;Q4;The state;1,6;-0,021;0,792;0,081
